filename	SampleType	SampleType1	ATTRIBUTE_ Percent of OMSW  in MS	Species	ATTRIBUTE_ Taxonomy	NCBITaxonomy	Sample Collection	Sample Extract	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase
P30_pos.mzXML	SAMPLE	spent mushroom substrate	80	Fungi	SMS_Hericium	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002685	electrospray ionization (Positive)	reverse phase (C18)
P31_pos.mzXML	SAMPLE	spent mushroom substrate	80	Fungi	SMS_Hericium	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002686	electrospray ionization (Positive)	reverse phase (C18)
P32_pos.mzXML	SAMPLE	spent mushroom substrate	80	Fungi	SMS_Hericium	91752Hericium erinaceus	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002687	electrospray ionization (Positive)	reverse phase (C18)
E1_pos.mzXML	SAMPLE	Mushroom Fruit Body	0	Fungi	FB_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002638	electrospray ionization (Positive)	reverse phase (C18)
E2_pos.mzXML	SAMPLE	Mushroom Fruit Body	0	Fungi	FB_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002639	electrospray ionization (Positive)	reverse phase (C18)
E3_pos.mzXML	SAMPLE	Mushroom Fruit Body	33	Fungi	FB_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002640	electrospray ionization (Positive)	reverse phase (C18)
E4_pos.mzXML	SAMPLE	Mushroom Fruit Body	33	Fungi	FB_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002641	electrospray ionization (Positive)	reverse phase (C18)
E5_pos.mzXML	SAMPLE	Mushroom Fruit Body	60	Fungi	FB_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002642	electrospray ionization (Positive)	reverse phase (C18)
E6_pos.mzXML	SAMPLE	Mushroom Fruit Body	0	Fungi	FB_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002643	electrospray ionization (Positive)	reverse phase (C18)
E7_pos.mzXML	SAMPLE	Mushroom Fruit Body	33	Fungi	FB_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002644	electrospray ionization (Positive)	reverse phase (C18)
E8_pos.mzXML	SAMPLE	Mushroom Fruit Body	60	Fungi	FB_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002645	electrospray ionization (Positive)	reverse phase (C18)
E9_pos.mzXML	SAMPLE	Mushroom Fruit Body	60	Fungi	FB_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002646	electrospray ionization (Positive)	reverse phase (C18)
E10_pos.mzXML	SAMPLE	Mushroom Fruit Body	80	Fungi	FB_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002647	electrospray ionization (Positive)	reverse phase (C18)
E11_pos.mzXML	SAMPLE	Mushroom Fruit Body	80	Fungi	FB_Pleurotus	5323|Pleurotus eryngii	Dry Solid Material	Methanol100%	Q Exactive Plus|MS:1002648	electrospray ionization (Positive)	reverse phase (C18)
