feature_id,set_id
4100,group_km_502
4103,group_km_715
4107,group_km_235
4136,group_km_533
4139,group_km_328
4170,group_km_88
4173,group_km_738
4182,group_km_590
4208,group_km_247
4232,group_km_281
4237,group_km_614
4245,group_km_201
4272,group_km_643
4288,group_km_516
4308,group_km_294
4317,group_km_725
4326,group_km_117
4328,group_km_262
4329,group_km_693
4341,group_km_170
4361,group_km_626
4368,group_km_251
4377,group_km_645
4384,group_km_408
4414,group_km_76
4419,group_km_630
4423,group_km_494
4430,group_km_636
4446,group_km_74
4451,group_km_516
4475,group_km_131
4484,group_km_505
4490,group_km_195
4517,group_km_20
4518,group_km_310
4520,group_km_250
4543,group_km_460
4553,group_km_246
4569,group_km_73
4570,group_km_284
4586,group_km_86
4619,group_km_301
4644,group_km_460
4656,group_km_431
4671,group_km_250
4702,group_km_460
4708,group_km_715
4729,group_km_495
4738,group_km_520
4741,group_km_533
4795,group_km_424
4796,group_km_659
4803,group_km_402
4830,group_km_737
4837,group_km_382
4863,group_km_352
4876,group_km_387
4915,group_km_617
4932,group_km_328
4938,group_km_165
4951,group_km_460
4957,group_km_138
4980,group_km_62
4990,group_km_778
5005,group_km_203
5050,group_km_793
5055,group_km_117
5063,group_km_92
5067,group_km_18
5074,group_km_176
5079,group_km_716
5085,group_km_196
5133,group_km_247
5163,group_km_241
5176,group_km_73
5185,group_km_435
5190,group_km_373
5194,group_km_560
5219,group_km_241
5222,group_km_373
5255,group_km_382
5268,group_km_189
5347,group_km_32
5424,group_km_384
5454,group_km_387
5459,group_km_617
5464,group_km_170
5466,group_km_447
5471,group_km_165
5473,group_km_773
5474,group_km_773
5476,group_km_617
5477,group_km_73
5479,group_km_46
5519,group_km_322
5551,group_km_231
5561,group_km_452
5572,group_km_327
5582,group_km_326
5597,group_km_798
5613,group_km_84
5618,group_km_781
5619,group_km_557
5626,group_km_548
5632,group_km_411
5654,group_km_235
5659,group_km_382
5669,group_km_497
5670,group_km_497
5704,group_km_233
5711,group_km_250
5729,group_km_73
5806,group_km_497
5807,group_km_497
5818,group_km_491
5875,group_km_788
5877,group_km_67
5878,group_km_588
5894,group_km_614
5903,group_km_75
5925,group_km_373
5929,group_km_117
5938,group_km_73
5942,group_km_497
5944,group_km_74
5954,group_km_79
5955,group_km_185
5969,group_km_193
5975,group_km_612
5976,group_km_235
5986,group_km_233
5992,group_km_1
6006,group_km_732
6008,group_km_650
6021,group_km_131
6052,group_km_169
6072,group_km_497
6090,group_km_74
6111,group_km_661
6122,group_km_73
6132,group_km_403
6139,group_km_117
6159,group_km_540
6166,group_km_8
6170,group_km_181
6179,group_km_8
6186,group_km_341
6189,group_km_425
6192,group_km_609
6230,group_km_754
6240,group_km_497
6241,group_km_113
6246,group_km_319
6308,group_km_392
6361,group_km_738
6377,group_km_593
6380,group_km_626
6401,group_km_364
6406,group_km_433
6407,group_km_735
6418,group_km_537
6467,group_km_191
6470,group_km_675
6490,group_km_531
6608,group_km_170
6609,group_km_170
6627,group_km_320
6643,group_km_263
6661,group_km_389
6662,group_km_471
6663,group_km_667
6667,group_km_548
6676,group_km_348
6682,group_km_94
6683,group_km_659
6688,group_km_356
6709,group_km_641
6715,group_km_654
6729,group_km_74
6740,group_km_382
6750,group_km_251
6755,group_km_338
6759,group_km_367
6763,group_km_749
6772,group_km_622
6799,group_km_335
6827,group_km_360
6852,group_km_658
6868,group_km_331
6879,group_km_673
6882,group_km_98
6884,group_km_140
6912,group_km_590
6914,group_km_134
6976,group_km_52
6987,group_km_143
6988,group_km_619
6989,group_km_622
6992,group_km_586
6993,group_km_224
7009,group_km_302
7018,group_km_69
7024,group_km_631
7047,group_km_73
7055,group_km_657
7059,group_km_707
7089,group_km_363
7129,group_km_405
7130,group_km_322
7139,group_km_288
7147,group_km_329
7156,group_km_786
7162,group_km_626
7174,group_km_331
7187,group_km_73
7199,group_km_73
7203,group_km_611
7216,group_km_330
7240,group_km_183
7251,group_km_794
7254,group_km_715
7266,group_km_310
7321,group_km_517
7383,group_km_626
7406,group_km_441
7421,group_km_613
7436,group_km_194
7447,group_km_384
7455,group_km_680
7458,group_km_766
7461,group_km_786
7462,group_km_73
7504,group_km_583
7521,group_km_428
7575,group_km_529
7581,group_km_765
7592,group_km_676
7606,group_km_626
7613,group_km_750
7654,group_km_4
7656,group_km_98
7662,group_km_64
7687,group_km_73
7702,group_km_762
7714,group_km_680
7719,group_km_311
7720,group_km_19
7730,group_km_276
7731,group_km_656
7732,group_km_276
7736,group_km_578
7756,group_km_575
7776,group_km_73
